M-1-0277,16157,,,,,,Standard,Regular,,1590,M/S. Sonia Cosmatic & Mobile Center,"Doya Rampur Bazar. Bagatipara. Natore , Post Code: 6400, City: Natore",Natore Sadar,Natore,01711410190
M-1-0277,16171,,,,,,Standard,Regular,,2590,Maa Telecom,"88/D. Kadomtola. Sabujbagh. Dhaka-1214. , Post Code: 1214, City: Dhaka",Sabujbag,Dhaka,1753332888
M-1-0277,16175,,,,,,Standard,Regular,,1590,Apple Varaites & Electronics,"Nasir Mondol Hat. Boda. Panchagarh , Post Code: 5010, City: Panchagarh",Panchagarh Sadar,Panchagarh,01711588911
M-1-0277,16180,,,,,,Standard,Regular,,3909,Chanchal Mobile,"Khalashpir. Pirganj. Rangpur. , Post Code: 5460, City: Rangpur",Rangpur,Rangpur,01713798233
M-1-0277,16201,,,,,,Standard,Regular,,1975,Mayer Doa Digital Studio & VT Store,"Bojra , ulipur , Post Code: 5620, City: Kurigram",Kurigram Sadar,Kurigram,01717546564
M-1-0277,16206,,,,,,Standard,Regular,,2249,B. M. Phone Fax / Photostate,"Ishara  Bazar. Basail. Tangail , Post Code: 1900, City: Tangail",Tangail Sadar,Tangail,01724520474
M-1-0277,16210,,,,,,Standard,Regular,,1590,M/S Tania Store,"Pasker Hat.Farazgonj .Lalmohan.Bhola , Post Code: 8330, City: Bhola",Bhola Sadar,Bhola,01771373719
M-1-0277,16212,,,,,,Standard,Regular,,4249,Siddique Mobile Center,"Nimtola,Dingadoba,Rajpara,Rajshahi, , Post Code: 6000, City: Rajshahi",Rajshahi,Rajshahi,01774412121
M-1-0277,16219,,,,,,Standard,Regular,,1535,Mama Vagina Store,"Mission More, Sadar, Lalmonirhat , Post Code: 5500, City: Lalmonirhat",Lalmonirhat Sadar,Lalmonirhat,1711081260
M-1-0277,16231,,,,,,Standard,Regular,,1900,Arni Telecom,"84/4.East Raza Bazar.Farmgate.Dhaka , Post Code: 1205, City: Dhaka",Dhanmondi,Dhaka,01764468888
M-1-0277,16278,,,,,,Standard,Regular,,2662,Saiful Electronics,"Sapahar Bazar. Sapahar. Naogaon , Post Code: 6560, City: Naogaon",Naogaon Sadar,Naogaon,01713706053
M-1-0277,16279,,,,,,Standard,Regular,,3250,M/s. Sornna Electronic,"Kankir Hat Purvo bazar. Senbag. Noakhali , Post Code: 3863, City: Noakhali",Noakhali Sadar,Noakhali,01711711839
M-1-0277,16342,,,,,,Standard,Regular,,2120,Nilay Electronic & Mobile Center,"Mohi Uddin Market.Modan. Netrakona. , Post Code: 2490, City: Netrakona",Netrakona Sadar,Netrakona,01735367459
M-1-0277,16370,,,,,,Standard,Regular,,3448,Apple Varaites & Electronics,"Nasir Mondol Hat. Boda. Panchagarh , Post Code: 5010, City: Panchagarh",Panchagarh Sadar,Panchagarh,01711588911
M-1-0277,16379,,,,,,Standard,Regular,,2125,Mynul Telecom Center,"Mowlobir Hat. Hizla. Barisal , Post Code: 8260, City: Barishal",Barisal,Barisal,01717227176
M-1-0277,16387,,,,,,Standard,Regular,,2125,Ma Telecom,"Somamoddin Bondor. Muladi. Barisal , Post Code: 8252, City: Barishal",Barisal,Barisal,01712849440
