M-1-0277,13444,,,,,,Standard,Regular,,3200,lemon inter price,"sonalebank road siragdikhan, Post code: 1540, City: Munshiganj",Munshigonj Sadar,Munshiganj,1719611261
M-1-0277,13753,,,,,,Standard,Regular,,0,Mobile Media,"438. Abedin Bhaban. Shanir Akra. Demra. Dhaka., Post code: 1232, City: Dhaka",Jatrabari,Dhaka,01717604060
M-1-0277,13771,,,,,,Standard,Regular,,1880,Mamun Telecom,"Bagbari. Hemayetpur. Savar. Dhaka, Post code: 1340, City: Dhaka",Savar model thana,Savar,01731020305
M-1-0277,13776,,,,,,Standard,Regular,,1540,M/S Iqbal Traders,"Possim Carumed union ,Gazaria Bazar.Lalmohan.Bhola, Post code: 8330, City: Bhola",Bhola Sadar,Bhola,01714668967
M-1-0277,13782,,,,,,Standard,Regular,,1162,Iqbal hossain,"Jobair telecom.107. Fakirhat Road. Bandar. Chittagong, Post code: 4100, City: Chittagong",Kotwali,Chittagong,01619448383
M-1-0277,13792,,,,,,Standard,Regular,,3012,Bandhu Telecom,"Kaoraid Bazar. P. O. Kaoraid. Sreepur. Gazipur. Dhaka, Post code: 1745, City: Gazipur",Gazipur,Gazipur,01716846694
M-1-0277,13816,,,,,,Standard,Regular,,2490,Rubel Telecom,"Pirijpur Bus Stand. Bajitpur. Kishoregonj., Post code: 2300, City: Kishoreganj",Kishoregonj Sadar,Kishoreganj,01749394546
M-1-0277,13841,,,,,,Standard,Regular,,509,Shamanta Telecom,"Kongshonagar Bazar.Burichong.Comilla, Post code: 3520, City: Comilla",Comilla,Comilla,01713607078
M-1-0277,13867,,,,,,Standard,Regular,,1820,M/S Dena Telephone Centre,"Raniganj Bazar.Jagannathpur Sunamganj, Post code: 3060, City: Sunamganj",Sunamganj Sadar,Sunamganj,01717690010
M-1-0277,13868,,,,,,Standard,Regular,,2520,M/S Noor Enterprise,"Noor Mansion. Kali Bari. Comilla Road. Chandpur Sadar. Chandpur, Post code: 3600, City: Chandpur",Chandpur Sadar,Chandpur,01855553800
M-1-0277,13880,,,,,,Standard,Regular,,1980,Juwel Telecom,"Tarurtia Bazar. Lauhati. DelduarTangail, Post code: 1900, City: Tangail",Tangail Sadar,Tangail,01733880880
